alias_id,steamid64,source_id,player_name,observed_at
292,76561199063504831,4,[myg0t]ChristianKnight,2020-06-04T02:16:35Z
293,76561199063526503,4,[myg0t]ChristianKnight,2020-06-04T06:42:35Z
294,76561199063966273,4,royalhack.net BOT,2020-06-26T06:45:40Z
295,76561199064184261,4,MYG)T,2020-06-16T06:30:55Z
296,76561199064240537,4,(1)MYG)T,2020-06-11T09:42:27Z
297,76561199064247007,4,MYG)T,2020-06-07T07:55:11Z
298,76561199064270710,4,[g0tb0t]CatholicGod,2020-06-08T21:32:30Z
299,76561199064273004,4,(2)MYG)T,2020-06-11T09:53:39Z
300,76561199064289216,4,MYG)T,2020-06-19T03:12:41Z
301,76561199064290800,4,76561199064290800,2020-06-11T05:23:20Z
302,76561199064297159,4,royalhack.net BOT,2020-06-11T09:53:38Z
303,76561199064299371,4,MYG)T,2020-06-08T21:28:27Z
304,76561199064302984,4,MYG)T,2020-06-21T00:04:30Z
305,76561199064311030,4,[g0tb0t]CatholicGod,2020-06-14T08:55:12Z
306,76561199064318739,4,[g0tb0t]CoonSlayer,2020-06-11T01:42:32Z
307,76561199064320092,4,MYG)T,2020-06-11T09:52:50Z
308,76561199064331131,4,royalhack.net,2020-06-07T05:39:48Z
309,76561199064334700,4,[g0tb0t]CoonSlayer,2020-06-11T01:42:23Z
310,76561199064336503,4,MYG)T,2020-06-11T09:47:44Z
311,76561199064343747,4,[g0tb0t]CatholicGod,2020-06-10T06:28:24Z
312,76561199064345214,4,[g0tb0t]CatholicGod,2020-06-18T01:56:24Z
313,76561199064350510,4,[g0tb0t]CatholicGod,2020-06-15T06:21:53Z
314,76561199064351859,4,[g0tb0t]CoonSlayer,2020-06-09T05:43:22Z
315,76561199064359228,4,[g0tb0t]CatholicGod,2020-06-11T05:26:47Z
316,76561199064370488,4,(1)MYG)T,2020-06-11T02:18:35Z
317,76561199064370489,4,[g0tb0t]CoonSlayer,2020-06-13T05:31:31Z
318,76561199064379819,4,irc.myg0t.gg:6667#myg0t,2020-07-20T05:57:52Z
319,76561199064385335,4,(2)MYG)T,2020-06-11T09:47:47Z
320,76561199064386228,4,MYG)T,2020-06-11T02:19:27Z
321,76561199064392967,4,[g0tb0t]CatholicGod,2020-06-09T05:22:22Z
322,76561199064411230,4,MYG)T,2020-06-07T02:03:10Z
323,76561199064417456,4,[g0tb0t]CatholicGod,2020-06-11T09:51:14Z
324,76561199064428356,4,www.myg0t.gg,2020-07-09T02:38:54Z
325,76561199064434176,4,[g0tb0t]CatholicGod,2020-06-11T09:40:03Z
326,76561199064441665,4,[g0tb0t]Church-of-myg0t,2020-06-11T04:00:33Z
327,76561199064444207,4,MYG)T,2020-06-20T05:38:32Z
328,76561199064444781,4,[g0tb0t]CatholicGod,2020-06-08T21:37:18Z
329,76561199064460943,4,[g0tb0t]CatholicGod,2020-06-15T07:30:27Z
330,76561199064470644,4,[g0tb0t]CatholicGod,2020-06-11T09:52:29Z
331,76561199064474253,4,[g0tb0t]Church-of-myg0t,2020-06-11T05:24:17Z
332,76561199064478163,4,[g0tb0t]CatholicGod,2020-06-11T03:20:47Z
333,76561199064480284,4,[g0tb0t]CatholicGod,2020-06-11T09:49:28Z
334,76561199064490240,4,(1)MYG)T,2020-06-13T06:12:20Z
335,76561199064505157,4,[g0tb0t]CatholicGod,2020-06-11T04:48:08Z
336,76561199064510841,4,[g0tb0t]CatholicGod,2020-06-15T04:04:15Z
337,76561199064519416,4,[g0tb0t]CatholicGod,2020-06-08T03:39:16Z
338,76561199064536405,4,MYG)T,2020-06-11T09:50:52Z
